wdid,facility_name,region,county,place_type,year,ml_risk_score,ml_risk_pct,ml_percentile,total_actions_24mo,avg_severity_24mo,total_outstanding,monetary_rate_24mo,escalation_ratio
5A040102001,Chico Water Pollution Control Plant,5R,Butte,Wastewater Treatment Facility,2015,0.25608106000896674,25.6,95.5,3,4.333333333333333,0.0,0.3333333333333333,1.0
5A320300002,Chester Class III Landfill,5R,Plumas,Land fill,2003,0.2554457347602864,25.5,95.5,4,3.3333333333333335,0.0,0.25,1.0
4A560107001,Ventura WRF,4,Ventura,Wastewater Treatment Facility,2008,0.2533526704180046,25.3,95.4,4,3.6666666666666665,0.0,0.5,1.0
4B191106001,"Royal Catering, El Monte",4,Los Angeles,"Service/Commercial Site, NEC",2003,0.25220291825401603,25.2,95.3,3,4.333333333333333,0.0,0.3333333333333333,1.0
5A320102001,Portola WWTP,5R,Plumas,Wastewater Treatment Facility,2013,0.2511424684378075,25.1,95.3,3,3.6666666666666665,0.0,0.3333333333333333,1.0
5B050103001,San Andreas SD WWTP,5S,Calaveras,Wastewater Treatment Facility,2017,0.24981613874489303,25.0,95.2,5,3.8,6000.0,0.2,1.0
7A330122021,Valley SD WWTP,7,Riverside,Wastewater Treatment Facility,2013,0.24812258461840228,24.8,95.1,3,3.6666666666666665,0.0,0.3333333333333333,1.0
9 000000469,GW EX - One America Plaza Dewater,9,San Diego,"Service/Commercial Site, NEC",2006,0.2463807812543794,24.6,95.1,5,3.75,0.0,0.2,1.0
4A191030001,Paradise Ranch WWTP,4,Los Angeles,Wastewater Treatment Facility,2009,0.24371927365709845,24.4,95.0,3,4.333333333333333,0.0,0.3333333333333333,1.0
5A280103002,Napa Berryessa WTF,5S,Napa,Wastewater Treatment Facility,2012,0.24365540370594913,24.4,95.0,6,3.0,0.0,0.0,1.0
5B50NC00143,John Bos Dairy,5S,Stanislaus,Animal Feeding,2014,0.24281412531598426,24.3,94.9,3,4.0,0.0,0.6666666666666666,1.0
4B193500003,Scattergood Generating Station,4,Los Angeles,Power Plant,2015,0.24278348165121344,24.3,94.8,3,4.0,0.0,0.3333333333333333,1.0
5A581007001,Hammonton Gold Village WWTP,5S,Yuba,Wastewater Treatment Facility,2015,0.2415133753905729,24.2,94.8,7,3.6666666666666665,14858.0,0.14285714285714285,1.0
4A560112001,Hill Canyon WWTP,4,Ventura,Wastewater Treatment Facility,2005,0.24133846064511869,24.1,94.7,3,4.333333333333333,0.0,0.3333333333333333,1.0
5C550106004,Sonora Regional WWTF,5F,Tuolumne,Wastewater Treatment Facility,2002,0.2403704392676295,24.0,94.6,6,3.0,0.0,0.0,1.0
5B070102002,Byron Sanitary District WWTF,5S,Contra Costa,Wastewater Treatment Facility,2003,0.2394547787903861,23.9,94.6,4,4.0,0.0,0.5,1.0
5A459005001,Washington Mine,5R,Shasta,Metal Mining,2013,0.23565453946582557,23.6,94.5,4,4.0,0.0,0.25,1.0
1B08048CSON,Anne Mack Johnson Housing Complex,1,Sonoma,"Residence, NEC",2010,0.23336561662314645,23.3,94.5,3,3.6666666666666665,0.0,0.3333333333333333,1.0
5B50NC00270,GJ Silva,5S,Stanislaus,Animal Feeding,2016,0.22846720177822694,22.8,94.4,3,5.333333333333333,74926.0,1.0,1.0
4B191086001,RMR Properties,4,Los Angeles,Domestic Site NEC,2003,0.22744815684943576,22.7,94.3,3,4.333333333333333,0.0,0.3333333333333333,1.0
5A520104001,Lake California WWTP,5R,Tehama,Wastewater Treatment Facility,2015,0.22735834410557154,22.7,94.3,3,3.6666666666666665,3000.0,0.3333333333333333,1.0
5C502036001,OLAM Modesto,5S,Stanislaus,Food Processing NEC,2002,0.22617024106284905,22.6,94.2,3,3.3333333333333335,0.0,0.3333333333333333,1.0
6B369003001,New Ivanpah Dry Lake Evap Pond,6B,San Bernardino,Surface Impoundment,2000,0.22610186196622037,22.6,94.1,4,5.0,0.0,1.0,1.0
2 071048001,Tesoro Martinez Facility WWTP,2,Contra Costa,Petroleum Refinery,2011,0.22520421315087577,22.5,94.1,4,4.0,0.0,0.25,1.0
1B85026NHUM,DG Fairhaven Power,1,Humboldt,Power Plant,2004,0.22270661914763856,22.3,94.0,4,3.25,0.0,0.25,1.0
2 215022001,Novato and Ignacio WWTP,2,Marin,Wastewater Treatment Facility,2009,0.2216501069325165,22.2,94.0,3,5.0,0.0,0.3333333333333333,1.0
5A570800003,Center for Aquatic Biology and Aquaculture,5S,Yolo,Aquaculture/Hatchery,2017,0.2210555497277669,22.1,93.9,6,3.0,0.0,0.0,1.0
5C550801002,Sierra Conservation Center WTP (NPDES),5S,Tuolumne,Prison,2015,0.21805286881768243,21.8,93.8,4,3.6666666666666665,0.0,0.25,1.0
8 302612001,Frank R Bowerman Landfill,8,Orange,Land fill,2002,0.21765485515633656,21.8,93.8,3,5.0,0.0,0.3333333333333333,1.0
2 071039001,Rodeo Sanitary District WWTP,2,Contra Costa,Wastewater Treatment Facility,2002,0.21756649015465543,21.8,93.7,9,1.0,0.0,0.0,1.0
5B030802002,CDCR - Mule Creek State Prison WWTP,5S,Amador,Prison,2008,0.21683025968850844,21.7,93.6,4,4.5,0.0,0.25,1.0
3 271021001,"Alila Ventana Resort, Big Sur (formerly Ventana Inn)",3,Monterey,Domestic Site NEC,2009,0.21671910106714412,21.7,93.6,6,3.25,0.0,0.16666666666666666,1.0
